key,databaseFilmTitle,FilmTitle,AlternateTitle,ARR_TitleArray,Year,Director,ARR_DirectorArray,Country,ARR_CountryArray,1952rank,1952votes,1962rank,1962votes,1972rank,1972votes,1982rank,1982votes,1992rank,1992votes,2002rank,2002votes,2012rank,2012votes,2022rank,2022votes
1,¡Que viva Mexico!,¡Que viva Mexico!,,¡Que viva Mexico!,1932,"Sergei Eisenstein, Grigori Aleksandrov",Sergei Eisenstein; Grigori Aleksandrov,Soviet Union,Soviet Union; United States,16,8,47,2,,0,,0,,0,,0,,0,,0
2,¡Vivan las Antipodas!,¡Vivan las Antipodas!,,¡Vivan las Antipodas!,2011,Victor Kossakovsky,Victor Kossakovsky,"Germany, Argentina",Germany; Argentina,,0,,0,,0,,0,,0,,0,,0,1652,1
3,...A Valparaíso,...A Valparaíso,,...A Valparaíso,1963,Joris Ivens,Joris Ivens,"France, Chile",France; Chile,,0,,0,,0,217,1,,0,,0,,0,,0
4,...All the Marbles,...All the Marbles,,...All the Marbles,1982,Robert Aldrich,Robert Aldrich,United States,United States,,0,,0,,0,,0,,0,,0,,0,1105,2
5,[Enema Medley],[Enema Medley],selection from V'14 Revolutions in 16MM,[Enema Medley]; selection from V'14 Revolutions in 16MM,1970,N/A,N/A,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
6,10,10,,10,1979,Blake Edwards,Blake Edwards,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
7,"1126 Dewey Avenue, Apt. 207","1126 Dewey Avenue, Apt. 207",,"1126 Dewey Avenue, Apt. 207",1939,John C. Hecker,John C. Hecker,United States,United States,,0,,0,,0,,0,,0,,0,899,1,,0
8,12 Angry Men,12 Angry Men,,12 Angry Men,1957,Sidney Lumet,Sidney Lumet,United States,United States,,0,,0,,0,,0,,0,,0,899,1,1105,2
9,12 Monkeys,12 Monkeys,,12 Monkeys,1995,Terry Gilliam,Terry Gilliam,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
10,12 Years a Slave,12 Years a Slave,,12 Years a Slave,2013,Steve McQueen,Steve McQueen,"United States, United Kingdom",United States; United Kingdom,,0,,0,,0,,0,,0,,0,,0,846,3
11,13 Lakes,13 Lakes,,13 Lakes,2004,James Benning,James Benning,United States,United States,,0,,0,,0,,0,,0,,0,449,3,1105,2
12,13th,13th,,13th,2016,Ava DuVernay,Ava DuVernay,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
13,1900,1900,Novecento,1900; Novecento,1976,Bernardo Bertolucci,Bernardo Bertolucci,"Italy, France",Italy; France,,0,,0,,0,80,3,,0,227,1,899,1,846,3
14,1917,1917,,1917,2019,Sam Mendes,Sam Mendes,"United States, United Kingdom",United States; United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
15,2 Days in Paris,2 Days in Paris,,2 Days in Paris,2007,Julie Delpy,Julie Delpy,"France, Germany",France; Germany,,0,,0,,0,,0,,0,,0,,0,1652,1
16,2 into 1,2 into 1,,2 into 1,1997,Gillian Wearing,Gillian Wearing,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,899,1,,0
17,2 or 3 Things I Know About Her,2 or 3 Things I Know About Her,,2 or 3 Things I Know About Her,1967,Jean-Luc Godard,Jean-Luc Godard,France,France,,0,,0,87,2,56,4,41,5,46,5,102,16,462,6
18,20 Feet from Stardom,20 Feet from Stardom,,20 Feet from Stardom,2013,Morgan Neville,Morgan Neville,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
19,2001: A Space Odyssey,2001: A Space Odyssey,,2001: A Space Odyssey,1969,Stanley Kubrick,Stanley Kubrick,"United Kingdom, United States",United Kingdom; United States,,0,,0,18,7,12,10,10,14,5,21,6,90,6,130
20,2046,2046,,2046,2004,Wong Kar Wai,Wong Kar Wai,Hong Kong,Hong Kong,,0,,0,,0,,0,,0,,0,449,3,1105,2
21,20th Century Women,20th Century Women,,20th Century Women,2016,Mike Mills,Mike Mills,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
22,21 Grams,21 Grams,,21 Grams,2003,Alejandro González Iñárritu,Alejandro González Iñárritu,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
23,23rd Psalm Branch,23rd Psalm Branch,,23rd Psalm Branch,1968,Stan Brakhage,Stan Brakhage,United States,United States,,0,,0,,0,,0,,0,,0,899,1,,0
24,24 Frames,24 Frames,,24 Frames,2017,Abbas Kiarostami,Abbas Kiarostami,Iran,Iran,,0,,0,,0,,0,,0,,0,,0,1652,1
25,24 Hour Party People,24 Hour Party People,,24 Hour Party People,2002,Michael Winterbottom,Michael Winterbottom,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,899,1,,0
26,24 Hour Psycho,24 Hour Psycho,,24 Hour Psycho,1993,"Douglas Gordon, Alfred Hitchcock",Douglas Gordon; Alfred Hitchcock,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
27,25 Fireman's Street,25 Fireman's Street,Tüzoltó utca 25.,25 Fireman's Street; Tüzoltó utca 25.,1973,István Szabó,István Szabó,Hungary,Hungary,,0,,0,,0,217,1,,0,,0,,0,,0
28,25th Hour,25th Hour,,25th Hour,2002,Spike Lee,Spike Lee,United States,United States,,0,,0,,0,,0,,0,,0,,0,846,3
29,28 Days Later,28 Days Later,,28 Days Later,2002,Danny Boyle,Danny Boyle,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
30,3 Faces,3 Faces,Se rokh,3 Faces; Se rokh,2018,Jafar Panahi,Jafar Panahi,Iran,Iran,,0,,0,,0,,0,,0,,0,,0,1652,1
31,3 Godfathers,3 Godfathers,,3 Godfathers,1948,John Ford,John Ford,United States,United States,,0,,0,,0,,0,,0,,0,899,1,,0
32,3 Idiots,3 Idiots,,3 Idiots,2009,Rajkumar Hirani,Rajkumar Hirani,India,India,,0,,0,,0,,0,,0,,0,,0,1652,1
33,3 Women,3 Women,,3 Women,1977,Robert Altman,Robert Altman,United States,United States,,0,,0,,0,217,1,,0,,0,899,1,405,7
34,3-Iron,3-Iron,Bin-Jip,3-Iron; Bin-Jip,2004,Kim Ki-duk,Kim Ki-duk,"South Korea, Japan",South Korea; Japan,,0,,0,,0,,0,,0,,0,899,1,1652,1
35,3:10 to Yuma (1957),3:10 to Yuma,,3:10 to Yuma,1957,Delmer Daves,Delmer Daves,United States,United States,,0,,0,,0,,0,,0,227,1,899,1,1652,1
36,31/75: Asylum,31/75: Asylum,31/75: Asyl,31/75: Asylum; 31/75: Asyl,1975,Kurt Kren,Kurt Kren,Austria,Austria,,0,,0,,0,,0,,0,,0,,0,1652,1
37,322,322,,322,1969,Dušan Hanák,Dušan Hanák,Czechoslovakia,Czechoslovakia,,0,,0,,0,,0,,0,,0,,0,1652,1
38,33 Yo-Yo Tricks,33 Yo-Yo Tricks,,33 Yo-Yo Tricks,1976,P. White,P. White,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
39,35 Shots of Rum,35 Shots of Rum,,35 Shots of Rum,2008,Claire Denis,Claire Denis,"France, Germany",France; Germany,,0,,0,,0,,0,,0,,0,597,2,320,9
40,36 Chowringhee Lane,36 Chowringhee Lane,,36 Chowringhee Lane,1981,Aparna Sen,Aparna Sen,India,India,,0,,0,,0,,0,,0,,0,,0,1105,2
41,37/78: Tree Again,37/78: Tree Again,,37/78: Tree Again,1978,Kurt Kren,Kurt Kren,Austria,Austria,,0,,0,,0,,0,,0,,0,899,1,,0
42,"4 Months, 3 Weeks and 2 Days","4 Months, 3 Weeks and 2 Days","4 luni, 3 săptămâni și 2 zile","4 Months, 3 Weeks and 2 Days; 4 luni, 3 săptămâni și 2 zile",2007,Cristian Mungiu,Cristian Mungiu,Romania,Romania,,0,,0,,0,,0,,0,,0,899,1,846,3
43,42nd Street,42nd Street,,42nd Street,1933,Lloyd Bacon,Lloyd Bacon,United States,United States,,0,77,1,155,1,,0,,0,,0,,0,,0
44,45 Years,45 Years,,45 Years,2015,Andrew Haigh,Andrew Haigh,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
45,48 Hours,48 Hours,48 oras,48 Hours; 48 oras,1950,Gerardo de León,Gerardo de León,Philippines,Philippines,,0,,0,,0,,0,217,1,,0,,0,,0
46,6 et 12,6 et 12,,6 et 12,1968,"Mohamed Abderrahman Tazi, Ahmed Bouanani, Abdelmajid R'chich",Mohamed Abderrahman Tazi; Ahmed Bouanani; Abdelmajid R'chich,Morocco,Morocco,,0,,0,,0,,0,,0,,0,,0,1652,1
47,7 Songs From The Tundra,7 Songs From The Tundra,Seitsemän laulua tundralta,7 Songs From The Tundra; Seitsemän laulua tundralta,2000,"Anastasia Lapsui, Markku Lehmuskallio",Anastasia Lapsui; Markku Lehmuskallio,Finland,Finland,,0,,0,,0,,0,,0,,0,,0,1652,1
48,7 Women,7 Women,,7 Women,1966,John Ford,John Ford,United States,United States,,0,,0,,0,217,1,131,2,,0,449,3,462,6
49,71 Fragments of a Chronology of Chance,71 Fragments of a Chronology of Chance,71 Fragmente einer Chronologie des Zufalls,71 Fragments of a Chronology of Chance; 71 Fragmente einer Chronologie des Zufalls,1994,Michael Haneke,Michael Haneke,"Austria, Germany",Austria; Germany,,0,,0,,0,,0,,0,,0,,0,1652,1
50,79 Springs,79 Springs,79 primaveras,79 Springs; 79 primaveras,1969,Santiago Álvarez,Santiago Álvarez,Cuba,Cuba,,0,,0,,0,,0,,0,,0,597,2,1652,1
51,7th Heaven,7th Heaven,,7th Heaven,1927,Frank Borzage,Frank Borzage,United States,United States,,0,,0,,0,,0,,0,,0,449,3,846,3
52,8½,8½,,8½,1963,Federico Fellini,Federico Fellini,Italy,Italy,,0,,0,4,15,5,14,11,10,8,18,10,64,31,59
53,8903 Empire,8903 Empire,,8903 Empire,2015,"Kevin Jerome Everson, Kahlil Pedizisai",Kevin Jerome Everson; Kahlil Pedizisai,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
54,9 to 5,9 to 5,,9 to 5,1980,Colin Higgins,Colin Higgins,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
55,A Agonia,A Agonia,,A Agonia,1976,Júlio Bressane,Júlio Bressane,Brazil,Brazil,,0,,0,,0,,0,,0,,0,,0,1652,1
56,A Bad Film,A Bad Film,Huono filmi,A Bad Film; Huono filmi,1950,Felix Forsman,Felix Forsman,Finland,Finland,,0,,0,,0,,0,,0,,0,,0,1652,1
57,A Bitter Taste of Freedom,A Bitter Taste of Freedom,,A Bitter Taste of Freedom,2011,Marina Goldovskaya,Marina Goldovskaya,"Sweden, United States",Sweden; United States,,0,,0,,0,,0,,0,,0,,0,1652,1
58,A Bread Factory Part One: For the Sake of Gold,A Bread Factory Part One: For the Sake of Gold,"A Bread Factory, Part One","A Bread Factory Part One: For the Sake of Gold; A Bread Factory, Part One",2018,Patrick Wang,Patrick Wang,United States,United States,,0,,0,,0,,0,,0,,0,,0,1105,2
59,A Brighter Summer Day,A Brighter Summer Day,Guling jie shaonian sharen shijian,A Brighter Summer Day; Guling jie shaonian sharen shijian,1991,Edward Yang,Edward Yang,Taiwan,Taiwan,,0,,0,,0,,0,217,1,,0,84,19,78,35
60,A Camel,A Camel,Jamal,A Camel; Jamal,1981,Ibrahim Shaddad,Ibrahim Shaddad,Sudan,Sudan,,0,,0,,0,,0,,0,,0,,0,1652,1
61,A Canterbury Tale,A Canterbury Tale,,A Canterbury Tale,1944,"Michael Powell, Emeric Pressburger",Michael Powell; Emeric Pressburger,United Kingdom,United Kingdom,,0,,0,,0,217,1,217,1,89,3,117,14,244,12
62,A Child in the Crowd,A Child in the Crowd,Un enfant dans la foule,A Child in the Crowd; Un enfant dans la foule,1976,Gérard Blain,Gérard Blain,France,France,,0,,0,,0,,0,,0,,0,899,1,,0
63,A Christmas Tale,A Christmas Tale,Un conte de Noël,A Christmas Tale; Un conte de Noël,2008,Arnaud Desplechin,Arnaud Desplechin,France,France,,0,,0,,0,,0,,0,,0,,0,1652,1
64,A City of Sadness,A City of Sadness,Beiqing chengshi,A City of Sadness; Beiqing chengshi,1989,Hou Hsiao-hsien,Hou Hsiao-hsien,"Taiwan, Hong Kong",Taiwan; Hong Kong,,0,,0,,0,,0,217,1,62,4,117,14,157,18
65,A Clockwork Orange,A Clockwork Orange,,A Clockwork Orange,1971,Stanley Kubrick,Stanley Kubrick,"United States, United Kingdom",United States; United Kingdom,,0,,0,,0,217,1,,0,131,2,234,7,244,12
66,A Colour Box,A Colour Box,,A Colour Box,1935,Len Lye,Len Lye,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,899,1,462,6
67,A Confucian Confusion,A Confucian Confusion,Du li shi dai,A Confucian Confusion; Du li shi dai,1994,Edward Yang,Edward Yang,Taiwan,Taiwan,,0,,0,,0,,0,,0,,0,,0,1652,1
68,A Corner in Wheat,A Corner in Wheat,,A Corner in Wheat,1909,D.W. Griffith,D.W. Griffith,United States,United States,,0,,0,,0,,0,,0,,0,899,1,846,3
69,A Cottage on Dartmoor,A Cottage on Dartmoor,,A Cottage on Dartmoor,1929,Anthony Asquith,Anthony Asquith,"Sweden, United Kingdom",Sweden; United Kingdom,,0,,0,,0,,0,,0,,0,,0,1652,1
70,A Countess from Hong Kong,A Countess from Hong Kong,,A Countess from Hong Kong,1967,Charlie Chaplin,Charlie Chaplin,"United Kingdom, United States",United Kingdom; United States,,0,,0,155,1,217,1,217,1,,0,,0,1652,1
71,A Dance for Two,A Dance for Two,Pas de deux,A Dance for Two; Pas de deux,1968,Norman McLaren,Norman McLaren,Canada,Canada,,0,,0,155,1,,0,,0,,0,,0,1105,2
72,A Darkness Swallowed,A Darkness Swallowed,,A Darkness Swallowed,2006,Betzy Bromberg,Betzy Bromberg,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
73,A Day in the Country,A Day in the Country,Partie de campagne,A Day in the Country; Partie de campagne,1946,Jean Renoir,Jean Renoir,France,France,,0,35,3,155,1,33,6,93,3,,0,90,18,136,21
74,A Day Off,A Day Off,Hyuil,A Day Off; Hyuil,1968,Lee Man-hee,Lee Man-hee,South Korea,South Korea,,0,,0,,0,,0,,0,,0,,0,1652,1
75,A Day on the Grand Canal with the Emperor of China or: Surface Is Illusion but So Is Depth,A Day on the Grand Canal with the Emperor of China or: Surface Is Illusion but So Is Depth,,A Day on the Grand Canal with the Emperor of China or: Surface Is Illusion but So Is Depth,1988,Philip Haas,Philip Haas,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
76,A Day Out,A Day Out,,A Day Out,1972,Stephen Frears,Stephen Frears,United Kingdom,United Kingdom,,0,,0,,0,217,1,,0,,0,,0,,0
77,A Diary for Timothy,A Diary for Timothy,,A Diary for Timothy,1945,Humphrey Jennings,Humphrey Jennings,United Kingdom,United Kingdom,83,1,77,1,,0,,0,131,2,,0,597,2,846,3
78,A Diary of Chuji's Travels,A Diary of Chuji's Travels,Chuji Tabinikki Daisanbu Goyohen,A Diary of Chuji's Travels; Chuji Tabinikki Daisanbu Goyohen,1927,Daisuke Itô,Daisuke Itô,Japan,Japan,,0,,0,,0,,0,217,1,,0,,0,,0
79,A Difficult Life,A Difficult Life,Una vita difficile,A Difficult Life; Una vita difficile,1961,Dino Risi,Dino Risi,Italy,Italy,,0,,0,,0,,0,,0,,0,899,1,846,3
80,A Dirty Story,A Dirty Story,Une sale histoire,A Dirty Story; Une sale histoire,1977,Jean Eustache,Jean Eustache,France,France,,0,,0,,0,,0,,0,,0,,0,1105,2
81,A Dog's Life,A Dog's Life,,A Dog's Life,1918,Charlie Chaplin,Charlie Chaplin,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
82,A Face in the Crowd,A Face in the Crowd,,A Face in the Crowd,1957,Elia Kazan,Elia Kazan,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
83,A Family Finds Entertainment,A Family Finds Entertainment,,A Family Finds Entertainment,2005,Ryan Trecartin,Ryan Trecartin,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
84,A Farewell to Arms,A Farewell to Arms,,A Farewell to Arms,1932,Frank Borzage,Frank Borzage,United States,United States,,0,,0,,0,217,1,,0,,0,,0,,0
85,A Few Good Men,A Few Good Men,,A Few Good Men,1992,Rob Reiner,Rob Reiner,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
86,A Film Like Any Other,A Film Like Any Other,Un film comme les autres,A Film Like Any Other; Un film comme les autres,1968,Jean-Luc Godard,Jean-Luc Godard,France,France,,0,,0,155,1,,0,,0,,0,,0,,0
87,A Fine Day,A Fine Day,Der schöne Tag,A Fine Day; Der schöne Tag,2001,Thomas Arslan,Thomas Arslan,Germany,Germany,,0,,0,,0,,0,,0,,0,899,1,,0
88,A Foreign Affair,A Foreign Affair,,A Foreign Affair,1948,Billy Wilder,Billy Wilder,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
89,A Fugitive from the Past,A Fugitive from the Past,Kiga kaikyō,A Fugitive from the Past; Kiga kaikyō,1965,Tomu Uchida,Tomu Uchida,Japan,Japan,,0,,0,,0,,0,,0,,0,,0,1652,1
90,A Geisha,A Geisha,Gion bayashi,A Geisha; Gion bayashi,1953,Kenji Mizoguchi,Kenji Mizoguchi,Japan,Japan,,0,,0,,0,,0,217,1,,0,899,1,1652,1
91,A Generation,A Generation,Pokolenie,A Generation; Pokolenie,1955,Andrzej Wajda,Andrzej Wajda,Poland,Poland,,0,77,1,155,1,217,1,,0,,0,,0,,0
92,A Gentle Woman,A Gentle Woman,Une femme douce,A Gentle Woman; Une femme douce,1969,Robert Bresson,Robert Bresson,France,France,,0,,0,,0,,0,217,1,,0,597,2,,0
93,A Ghost Story,A Ghost Story,,A Ghost Story,2017,David Lowery,David Lowery,United States,United States,,0,,0,,0,,0,,0,,0,,0,846,3
94,A Girl and a Tree,A Girl and a Tree,Deklica in Drevo,A Girl and a Tree; Deklica in Drevo,2012,Vlado Škafar,Vlado Škafar,Slovenia,Slovenia,,0,,0,,0,,0,,0,,0,,0,1652,1
95,A Girl at My Door,A Girl at My Door,Dohee-ya,A Girl at My Door; Dohee-ya,2014,July Jang,July Jang,South Korea,South Korea,,0,,0,,0,,0,,0,,0,,0,1105,2
96,A Girl Walks Home Alone at Night,A Girl Walks Home Alone at Night,,A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,Ana Lily Amirpour,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
97,A Grasscutter's Tale,A Grasscutter's Tale,Kusatori kusagami,A Grasscutter's Tale; Kusatori kusagami,1985,Katsuhiko Fukuda,Katsuhiko Fukuda,Japan,Japan,,0,,0,,0,,0,217,1,,0,,0,,0
98,A Grin Without a Cat,A Grin Without a Cat,Le fond de l'air est rouge,A Grin Without a Cat; Le fond de l'air est rouge,1977,Chris Marker,Chris Marker,France,France,,0,,0,,0,,0,,0,,0,449,3,1105,2
99,A Guest of Life: Alexander Csoma de Körös,A Guest of Life: Alexander Csoma de Körös,Az élet vendége – Csoma legendárium,A Guest of Life: Alexander Csoma de Körös; Az élet vendége – Csoma legendárium,2006,Tibor Szemzö,Tibor Szemzö,Hungary,Hungary,,0,,0,,0,,0,,0,,0,,0,1652,1
100,A Hard Day's Night,A Hard Day's Night,,A Hard Day's Night,1964,Richard Lester,Richard Lester,United Kingdom,United Kingdom,,0,,0,,0,217,1,,0,,0,597,2,668,4
101,A Heart in Winter,A Heart in Winter,Un cœur en hiver,A Heart in Winter; Un cœur en hiver,1992,Claude Sautet,Claude Sautet,France,France,,0,,0,,0,,0,,0,227,1,,0,1105,2
102,A Hen in the Wind,A Hen in the Wind,Kaze no naka no mendori,A Hen in the Wind; Kaze no naka no mendori,1948,Yasujirô Ozu,Yasujirô Ozu,Japan,Japan,,0,,0,,0,,0,,0,,0,,0,1652,1
103,A Hidden Life,A Hidden Life,,A Hidden Life,2019,Terrence Malick,Terrence Malick,"United States, Germany",United States; Germany,,0,,0,,0,,0,,0,,0,,0,1652,1
104,A History of Violence,A History of Violence,,A History of Violence,2005,David Cronenberg,David Cronenberg,United States,United States,,0,,0,,0,,0,,0,,0,597,2,846,3
105,A Horse Is Not a Metaphor,A Horse Is Not a Metaphor,,A Horse Is Not a Metaphor,2008,Barbara Hammer,Barbara Hammer,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
106,A King in New York,A King in New York,,A King in New York,1957,Charlie Chaplin,Charlie Chaplin,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,899,1,1105,2
107,A Letter from Beirut,A Letter from Beirut,Rissala min Beirut,A Letter from Beirut; Rissala min Beirut,1978,Jocelyne Saab,Jocelyne Saab,Lebanon,Lebanon,,0,,0,,0,,0,,0,,0,,0,1652,1
108,A Life for a Life,A Life for a Life,,A Life for a Life,1916,Yevgeni Bauer,Yevgeni Bauer,Russia,Russia,,0,,0,,0,,0,,0,227,1,,0,,0
109,A Lullaby to the Sorrowful Mystery,A Lullaby to the Sorrowful Mystery,Hele sa Hiwagang Hapis,A Lullaby to the Sorrowful Mystery; Hele sa Hiwagang Hapis,2016,Lav Diaz,Lav Diaz,Philippines,Philippines,,0,,0,,0,,0,,0,,0,,0,846,3
110,A Man and a Woman,A Man and a Woman,Un homme et une femme,A Man and a Woman; Un homme et une femme,1966,Claude Lelouch,Claude Lelouch,France,France,,0,,0,,0,,0,,0,,0,899,1,,0
111,A Man Escaped,A Man Escaped,Un condamné à mort s'est échappé ou Le vent souffle où il veut,A Man Escaped; Un condamné à mort s'est échappé ou Le vent souffle où il veut,1956,Robert Bresson,Robert Bresson,France,France,,0,,0,155,1,130,2,217,1,131,2,69,23,95,31
112,A Man for All Seasons,A Man for All Seasons,,A Man for All Seasons,1966,Fred Zinnemann,Fred Zinnemann,United Kingdom,United Kingdom,,0,,0,,0,217,1,,0,,0,899,1,1652,1
113,A Man There Was,A Man There Was,Terje Vigen,A Man There Was; Terje Vigen,1917,Victor Sjöström,Victor Sjöström,Sweden,Sweden,,0,,0,,0,,0,,0,,0,597,2,1105,2
114,A Man Vanishes,A Man Vanishes,Ningen jōhatsu,A Man Vanishes; Ningen jōhatsu,1967,Shôhei Imamura,Shôhei Imamura,Japan,Japan,,0,,0,,0,,0,,0,,0,,0,1105,2
115,A Married Woman,A Married Woman,Une femme mariée,A Married Woman; Une femme mariée,1964,Jean-Luc Godard,Jean-Luc Godard,France,France,,0,,0,,0,217,1,,0,,0,,0,,0
116,A Matter of Life and Death,A Matter of Life and Death,,A Matter of Life and Death,1946,"Michael Powell, Emeric Pressburger",Michael Powell; Emeric Pressburger,United Kingdom,United Kingdom,,0,,0,,0,56,4,131,2,89,3,90,18,78,35
117,A Matter of Time,A Matter of Time,,A Matter of Time,1976,Vincente Minnelli,Vincente Minnelli,"United States, Italy",United States; Italy,,0,,0,,0,,0,,0,,0,899,1,,0
118,A Moment of Innocence,A Moment of Innocence,Nun va Goldoon,A Moment of Innocence; Nun va Goldoon,1996,Mohsen Makhmalbaf,Mohsen Makhmalbaf,Iran,Iran,,0,,0,,0,,0,,0,131,2,234,7,846,3
119,A Moment of Romance,A Moment of Romance,Tiān Ruò Yǒu Qíng,A Moment of Romance; Tiān Ruò Yǒu Qíng,1990,Benny Chan,Benny Chan,Hong Kong,Hong Kong,,0,,0,,0,,0,,0,,0,,0,1652,1
120,A Movie,A Movie,,A Movie,1958,Bruce Conner,Bruce Conner,United States,United States,,0,,0,,0,,0,,0,,0,449,3,1105,2
121,A New Leaf,A New Leaf,,A New Leaf,1971,Elaine May,Elaine May,United States,United States,,0,,0,,0,217,1,,0,,0,899,1,292,10
122,A Night at the Opera,A Night at the Opera,,A Night at the Opera,1935,Sam Wood,Sam Wood,United States,United States,83,1,,0,87,2,217,1,217,1,,0,,0,,0
123,A Night of Knowing Nothing,A Night of Knowing Nothing,,A Night of Knowing Nothing,2021,Payal Kapadia,Payal Kapadia,"India, France",India; France,,0,,0,,0,,0,,0,,0,,0,846,3
124,A Night to Remember,A Night to Remember,,A Night to Remember,1958,Roy Ward Baker,Roy Ward Baker,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,899,1,,0
125,À nos amours,À nos amours,,À nos amours,1983,Maurice Pialat,Maurice Pialat,France,France,,0,,0,,0,,0,217,1,,0,282,6,846,3
126,À nous la liberté,À nous la liberté,,À nous la liberté,1931,René Clair,René Clair,France,France,24,5,,0,54,3,,0,,0,,0,597,2,1652,1
127,A Page of Madness,A Page of Madness,Kurutta Ichipeiji,A Page of Madness; Kurutta Ichipeiji,1926,Teinosuke Kinugasa,Teinosuke Kinugasa,Japan,Japan,,0,,0,,0,,0,,0,,0,597,2,320,9
128,A Pair of Tights,A Pair of Tights,,A Pair of Tights,1929,Hal Yates,Hal Yates,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
129,A Passage to India,A Passage to India,,A Passage to India,1984,David Lean,David Lean,"United States, United Kingdom",United States; United Kingdom,,0,,0,,0,,0,,0,,0,899,1,,0
130,A Perfect World,A Perfect World,,A Perfect World,1993,Clint Eastwood,Clint Eastwood,United States,United States,,0,,0,,0,,0,,0,,0,899,1,1652,1
131,A Petal,A Petal,Ggotip,A Petal; Ggotip,1996,Jang Sun-woo,Jang Sun-woo,South Korea,South Korea,,0,,0,,0,,0,,0,,0,899,1,,0
132,A Photographic Contortion,A Photographic Contortion,The Big Swallow,A Photographic Contortion; The Big Swallow,1901,James Williamson,James Williamson,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,899,1,1652,1
133,A Pigeon Sat on a Branch Reflecting on Existence,A Pigeon Sat on a Branch Reflecting on Existence,En duva satt på en gren och funderade på tillvaron,A Pigeon Sat on a Branch Reflecting on Existence; En duva satt på en gren och funderade på tillvaron,2014,Roy Andersson,Roy Andersson,"Sweden, Norway",Sweden; Norway,,0,,0,,0,,0,,0,,0,,0,1105,2
134,A Place in the Sun,A Place in the Sun,,A Place in the Sun,1951,George Stevens,George Stevens,United States,United States,,0,,0,,0,,0,,0,,0,899,1,1652,1
135,A Poet,A Poet,Puisi Tak Terkuburkan,A Poet; Puisi Tak Terkuburkan,2000,Garin Nugroho,Garin Nugroho,Indonesia,Indonesia,,0,,0,,0,,0,,0,,0,,0,1652,1
136,A Portrait of Ga,A Portrait of Ga,,A Portrait of Ga,1952,Margaret Tait,Margaret Tait,United Kingdom,United Kingdom,,0,,0,,0,,0,,0,,0,,0,405,7
137,A Prairie Home Companion,A Prairie Home Companion,,A Prairie Home Companion,2006,Robert Altman,Robert Altman,United States,United States,,0,,0,,0,,0,,0,,0,,0,1652,1
138,A Prophet,A Prophet,Un prophète,A Prophet; Un prophète,2009,Jacques Audiard,Jacques Audiard,France,France,,0,,0,,0,,0,,0,,0,899,1,846,3
139,À propos de Nice,À propos de Nice,,À propos de Nice,1930,"Jean Vigo, Boris Kaufman",Jean Vigo; Boris Kaufman,France,France,83,1,,0,,0,217,1,,0,,0,,0,846,3
140,A Question of Silence,A Question of Silence,De stilte rond Christine M,A Question of Silence; De stilte rond Christine M,1982,Marleen Gorris,Marleen Gorris,Netherlands,Netherlands,,0,,0,,0,,0,,0,,0,899,1,846,3
141,A Quiet Place in the Country,A Quiet Place in the Country,Un tranquillo posto di campagna,A Quiet Place in the Country; Un tranquillo posto di campagna,1968,Elio Petri,Elio Petri,Italy,Italy,,0,,0,,0,,0,,0,,0,,0,1652,1
142,A Report on the Party and Guests,A Report on the Party and Guests,O slavnosti a hostech,A Report on the Party and Guests; O slavnosti a hostech,1966,Jan Němec,Jan Němec,Czechoslovakia,Czechoslovakia,,0,,0,,0,,0,,0,,0,,0,1652,1
